Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
8116,8116,367740349.jpg#1r1e,entailment,A young boy wearing blue pajamas and yellow glasses leaping into the air.,A boy in pajamas jumping.,"Young boy is a boy, and leaping into the air implies jumping.", A *young* *boy* wearing blue pajamas and yellow glasses *leaping* *into* *the* *air.*, A *boy* in pajamas *jumping.*,"Young boy wearing blue pajamas is a type of boy in pajamas, and leaping is a form of jumping.", A *young* *boy* *wearing* *blue* *pajamas* and yellow glasses *leaping* into the air., A *boy* *in* *pajamas* *jumping.*,The boy is young. Jumping is the same as leaping into the air., A *young* boy wearing blue pajamas and yellow glasses *leaping* *into* *the* *air.*, A *boy* in pajamas *jumping.*,"['young', 'boy', 'leaping', 'into', 'the', 'air.']","['boy', 'jumping.']","['young', 'boy', 'wearing', 'blue', 'pajamas', 'leaping']","['boy', 'in', 'pajamas', 'jumping.']","['young', 'leaping', 'into', 'the', 'air.']","['boy', 'jumping.']",classification,2
8123,8123,458183774.jpg#0r1e,entailment,A large tan dog is rolling around on its back in a yard of grass.,A dog is rolling in the grass.,"A large tan dog is a type of dog, and ""rolling"" is a rephrasing of ""rolling around on its back.""", A *large* *tan* *dog* is *rolling* *around* *on* *its* *back* in a yard of grass., A *dog* is *rolling* in the grass.,Rolling in the grass is a more concise way of saying rolling around on its back in a yard of grass., A large tan dog is *rolling* *around* *on* *its* *back* *in* *a* *yard* *of* *grass.*, A dog is *rolling* *in* *the* *grass.*,"Large tan dog is a form of dog, and rolling in the grass is a paraphrase of on its back in a yard of grass.", A *large* *tan* *dog* is rolling around *on* *its* *back* *in* *a* *yard* *of* *grass.*, A *dog* is *rolling* *in* *the* *grass.*,"['large', 'tan', 'dog', 'rolling', 'around', 'on', 'its', 'back']","['dog', 'rolling']","['rolling', 'around', 'on', 'its', 'back', 'in', 'a', 'yard', 'of', 'grass.']","['rolling', 'in', 'the', 'grass.']","['large', 'tan', 'dog', 'on', 'its', 'back', 'in', 'a', 'yard', 'of', 'grass.']","['dog', 'rolling', 'in', 'the', 'grass.']",classification,"1,3"
8129,8129,9035232.jpg#1r1e,entailment,a man in a tan shirt is standing at the kitchen counter looking at food.,A man standing at a kitchen counter looking at food.,A man is in a tan shirt., a man in a *tan* *shirt* is standing at the kitchen counter looking at food., A *man* standing at a kitchen counter looking at food.,Man in a tan shirt is a type of man., a *man* *in* *a* *tan* *shirt* is standing at the kitchen counter looking at food., A *man* standing at a kitchen counter looking at food.,"Sentence two lacks the noun shirt and adjective tan, they have the same subject IE the man standing at the counter is looking at food.", a *man* in a tan shirt is *standing* at the kitchen *counter* looking at *food.*, A *man* *standing* at a kitchen *counter* looking at *food.*,"['tan', 'shirt']",['man'],"['man', 'in', 'a', 'tan', 'shirt']",['man'],"['man', 'standing', 'counter', 'food.']","['man', 'standing', 'counter', 'food.']",classification,2
8132,8132,6704385305.jpg#0r1e,entailment,An athlete on the Slough Jets hockey team is skating on an ice rink with a hockey stick equipped.,A person ice skating.,An athlete is a type of person.  Ice skating is an activity that involves skating on an ice rink., An *athlete* on the Slough Jets hockey team is *skating* *on* *an* *ice* *rink* with a hockey stick equipped., A *person* *ice* *skating.*,An athlete is a person.  Ice skating is an activity skating on an ice rink, An *athlete* on the Slough Jets hockey team is *skating* *on* *an* *ice* *rink* with a hockey stick equipped., A *person* *ice* *skating.*,An athlete is a person who would likely be skating., An *athlete* on the Slough Jets hockey team is skating on an ice rink with a hockey stick equipped., A *person* ice *skating.*,"['athlete', 'skating', 'on', 'an', 'ice', 'rink']","['person', 'ice', 'skating.']","['athlete', 'skating', 'on', 'an', 'ice', 'rink']","['person', 'ice', 'skating.']",['athlete'],"['person', 'skating.']",classification,1
8133,8133,4389772053.jpg#0r1e,entailment,"A young boy in a Boy Scout shirt sits in a folding camp chair indoors, with other similar chairs around him, and a green tent behind him.",A young boy with clothes on is indoors with chairs.,The boy is indoors with chairs and the shirt implies that he has on clothes.," A young *boy* in a Boy Scout *shirt* sits in a folding camp *chair* *indoors,* with other similar *chairs* around him, and a green tent behind him.", A young *boy* with *clothes* *on* is *indoors* with *chairs.*,"If the boy is in a Boy Scout shirt, the boy has clothes on."," A young *boy* in a *Boy* *Scout* *shirt* sits in a folding camp chair indoors, with other similar chairs around him, and a green tent behind him.", A young *boy* with *clothes* *on* is indoors with chairs.,"In a Boy Scout shirt implies with clothes, and folding camp chair is a type of chairs."," A young boy *in* *a* *Boy* *Scout* *shirt* sits in a *folding* *camp* *chair* indoors, with other similar chairs around him, and a green tent behind him.", A young boy *with* *clothes* on is indoors with *chairs.*,"['boy', 'shirt', 'chair', 'indoors', 'chairs']","['boy', 'clothes', 'on', 'indoors', 'chairs.']","['boy', 'Boy', 'Scout', 'shirt']","['boy', 'clothes', 'on']","['in', 'a', 'Boy', 'Scout', 'shirt', 'folding', 'camp', 'chair']","['with', 'clothes', 'chairs.']",classification,3
8156,8156,7228557720.jpg#0r1e,entailment,A man drawing pictures of individuals sits under an umbrella with previous works such as justin beiber around him.,a man is drawing,drawing pictures is a form of drawing., A man *drawing* *pictures* of *individuals* sits under an umbrella with previous works such as justin beiber around him., a man is *drawing*,Drawing pictures is a more specific kind of drawing., A man *drawing* *pictures* of individuals sits under an umbrella with previous works such as justin beiber around him., a man is *drawing*,A man is drawing is a rephrasing of man drawing, A *man* *drawing* pictures of individuals sits under an umbrella with previous works such as justin beiber around him., a *man* *is* *drawing*,"['drawing', 'pictures', 'individuals']",['drawing'],"['drawing', 'pictures']",['drawing'],"['man', 'drawing']","['man', 'is', 'drawing']",classification,"1,2"
8171,8171,2494520404.jpg#2r1e,entailment,Three different women having fun with a toy in the living-room.,Three women playing with a toy in a home.,living-room is in a home, Three different women having fun with a toy in the *living-room.*, Three women playing with a toy in a *home.*,"Three women are playing with a toy in a living-room, a living-room is a type of room within a home.", *Three* different *women* having fun with a *toy* in the *living-room.*, Three women playing with a toy in a home.,"If the women are having fun with the toy, it is logical the women are playing with the toy.", Three different *women* *having* *fun* with a *toy* in the living-room., Three *women* *playing* with a toy in a home.,['living-room.'],['home.'],"['Three', 'women', 'toy', 'living-room.']",[],"['women', 'having', 'fun', 'toy']","['women', 'playing']",classification,2
8191,8191,2575358644.jpg#4r1e,entailment,Small boys in sports jerseys play with a yellow ball.,Small boys playing.,Answer: Boys are playing with a yellow ball, Small boys in sports jerseys play with a *yellow* *ball.*, Small boys *playing.*,Play with a yellow ball is a form of playing., Small boys in sports jerseys *play* *with* *a* *yellow* *ball.*, Small boys *playing.*,Small boys playing in sports jerseys is part of the total description., Small boys in *sports* *jerseys* play with a yellow ball., *Small* *boys* *playing.*,"['yellow', 'ball.']",['playing.'],"['play', 'with', 'a', 'yellow', 'ball.']",['playing.'],"['sports', 'jerseys']","['Small', 'boys', 'playing.']",classification,2
8211,8211,4714935635.jpg#0r1e,entailment,"A male in a black hat, brown jacket and black and white sports pants reading a newspaper next to an aged stone building with a bike out front.",a male in a hat,A male in a hat is simply a less descriptive way of referring to a male in a black hat.," A *male* *in* a black *hat,* brown jacket and black and white sports pants reading a newspaper next to an aged stone building with a bike out front.", a *male* *in* a *hat*,A male dressed like a joker and reading a newspaper.," A male in a black hat, brown jacket and black and white sports pants *reading* a *newspaper* next to an aged stone building with a bike out front.", a *male* in a hat,A black hat is a type of hat.," A *male* in a *black* *hat,* brown jacket and black and white sports pants reading a newspaper next to an aged stone building with a bike out front.", a *male* in a *hat*,"['male', 'in', 'hat']","['male', 'in', 'hat']","['reading', 'newspaper']",['male'],"['male', 'black', 'hat']","['male', 'hat']",classification,3
8248,8248,4929777339.jpg#4r1e,entailment,A woman in black pants is looking at her cellphone.,a woman is looking at her phone,"A cellphone is a type of phone, and as the woman is looking at it, the context implies that cellphone and phone must be the same thing", A *woman* in black pants is *looking* *at* her *cellphone.*, a *woman* is *looking* *at* her *phone*,A woman looking at her phone (cellphone) is part of her description in black pants., A *woman* in *black* *pants* is looking at her cellphone., a *woman* is looking at her *phone*,She is a woman because she is a woman in pants., A *woman* *in* black *pants* is looking at her cellphone., a *woman* is looking at her phone,"['woman', 'looking', 'at', 'cellphone.']","['woman', 'looking', 'at', 'phone']","['woman', 'black', 'pants']","['woman', 'phone']","['woman', 'in', 'pants']",['woman'],classification,1
8251,8251,8443156.jpg#0r1e,entailment,A child dressed in blue jeans with rolled cuffs and a pink hoodie waits outdoors at the foot of the stairs with an axe.,A child waits by some stairs.,Some stairs is a rephrasing of foot of the stairs., A child dressed in blue jeans with rolled cuffs and a pink hoodie waits outdoors at the *foot* *of* *the* *stairs* with an axe., A child waits by *some* *stairs.*,The child waits near stairs., A *child* dressed in blue jeans with rolled cuffs and a pink hoodie *waits* outdoors at the foot of the *stairs* with an axe., A *child* *waits* by some *stairs.*,"Child dressed in blue jeans is a type of child, and foot of the stairs is a rephrasing of some stairs.", A *child* *dressed* *in* *blue* *jeans* with rolled cuffs and a pink hoodie waits outdoors at the *foot* *of* *the* *stairs* with an axe., A *child* waits by *some* *stairs.*,"['foot', 'of', 'the', 'stairs']","['some', 'stairs.']","['child', 'waits', 'stairs']","['child', 'waits', 'stairs.']","['child', 'dressed', 'in', 'blue', 'jeans', 'foot', 'of', 'the', 'stairs']","['child', 'some', 'stairs.']",classification,3
8266,8266,3659915446.jpg#1r1e,entailment,A shirtless man is cooking on an outdoor grill.,Someone is grilling.,the shirtless man that is cooking on the grill is the someone that is grilling, A *shirtless* *man* is cooking on an outdoor grill., *Someone* is grilling.,a man is someone and he is grilling, A shirtless man is cooking on an outdoor *grill.*, Someone is *grilling.*,Someone is a synonym of shirtless man. Grilling is a form of cooking., A *shirtless* *man* is *cooking* on an outdoor grill., *Someone* is *grilling.*,"['shirtless', 'man']",['Someone'],['grill.'],['grilling.'],"['shirtless', 'man', 'cooking']","['Someone', 'grilling.']",classification,3
8292,8292,7610925230.jpg#0r1e,entailment,"Three middle-age women are on a stage, one singing and the other two cheerleading in blue uniforms.",Three women are on stage.,there are two cheerleading and the one singing would equal three women," Three middle-age women are on a stage, *one* *singing* and the other *two* *cheerleading* in blue uniforms.", *Three* *women* are on stage.,Middle-age women are a type of women.," Three *middle-age* *women* are on a stage, one singing and the other two cheerleading in blue uniforms.", Three *women* are on stage.,The first sentence is a more descriptive way of stating that three women are on the stage.," *Three* middle-age *women* are *on* *a* *stage,* one singing and the other two cheerleading in blue uniforms.", *Three* *women* *are* *on* *stage.*,"['one', 'singing', 'two', 'cheerleading']","['Three', 'women']","['middle-age', 'women']",['women'],"['Three', 'women', 'on', 'a', 'stage']","['Three', 'women', 'are', 'on', 'stage.']",classification,2
8298,8298,2509912399.jpg#1r1e,entailment,"A smiling baby wearing a striped shirt, held by a woman with gray hair.",There is a baby in a person's arms.,A baby being held by a woman is in a person's arms.," A smiling *baby* wearing a striped shirt, *held* *by* *a* *woman* with gray hair.", There is a *baby* in a *person's* *arms.*,"A smiling baby is a type of baby, and held by a woman is a rephrasing of in a person's arms."," *A* *smiling* *baby* wearing a striped shirt, *held* *by* *a* *woman* with gray hair.", There is a *baby* *in* *a* *person's* *arms.*,"A woman is a person, and a baby is held in her arms."," A smiling *baby* wearing a striped shirt, *held* by a *woman* with gray hair.", There is a *baby* *in* *a* *person's* *arms.*,"['baby', 'held', 'by', 'a', 'woman']","['baby', ""person's"", 'arms.']","['A', 'smiling', 'baby', 'held', 'by', 'a', 'woman']","['baby', 'in', 'a', ""person's"", 'arms.']","['baby', 'held', 'woman']","['baby', 'in', 'a', ""person's"", 'arms.']",classification,2
8305,8305,494174844.jpg#2r1e,entailment,A group of people are sitting at a table having a meal.,A group of people are sitting.,People are sitting at a table having a meal., A group of people are sitting at a *table* *having* a *meal.*, A group of *people* are *sitting.*,Sitting at a table is a type of sitting., A group of people are *sitting* *at* *a* *table* having a meal., A group of people are *sitting.*,People are sitting in order to have a meal., A group of people are sitting at a *table* *having* a *meal.*, A group of people *are* *sitting.*,"['table', 'having', 'meal.']","['people', 'sitting.']","['sitting', 'at', 'a', 'table']",['sitting.'],"['table', 'having', 'meal.']","['are', 'sitting.']",classification,2
8308,8308,2970827076.jpg#2r1e,entailment,A clerk at a store is idling a waiting for next customer.,Clerk waits in checkout line.,A clerk would wait in a checkout line for his or her next customer., A clerk at a store is idling a *waiting* for next customer., Clerk *waits* in *checkout* *line.*,"Clerk at a store is a type of clerk, and waits is a paraphrase of waiting.", A *clerk* *at* *a* *store* is idling a *waiting* for next customer., *Clerk* *waits* in checkout line.,A clerk who is iding implies the clerk is waiting for the next customer in he checkout line., A *clerk* at a store is *idling* a waiting for *next* *customer.*, Clerk *waits* in *checkout* line.,['waiting'],"['waits', 'checkout', 'line.']","['clerk', 'at', 'a', 'store', 'waiting']","['Clerk', 'waits']","['clerk', 'idling', 'next', 'customer.']","['waits', 'checkout']",classification,2
8341,8341,2586911841.jpg#4r1e,entailment,A girl in a blue shirt leaps into the air.,The girl is jumping.,Leaps into the air is a form of jumping., A girl in a blue shirt *leaps* *into* *the* *air.*, The girl is *jumping.*,Jumping is the method one leaps into the air., A girl in a blue shirt *leaps* *into* *the* *air.*, The girl is *jumping.*,A girl leaps or jumping are equivalent., A *girl* in a blue shirt *leaps* into the air., The *girl* is *jumping.*,"['leaps', 'into', 'the', 'air.']",['jumping.'],"['leaps', 'into', 'the', 'air.']",['jumping.'],"['girl', 'leaps']","['girl', 'jumping.']",classification,1
8351,8351,3020785883.jpg#1r1e,entailment,A little baby is sitting on the ground with his hands in a cup.,The baby is sitting on the ground.,Little baby is a type of baby., A *little* *baby* is sitting on the ground with his hands in a cup., The *baby* is sitting on the ground.,A little baby is a specific size of a baby., A *little* *baby* is sitting on the ground with his hands in a cup., The *baby* is sitting on the ground.,A baby is sitting on the ground., A little *baby* is *sitting* *on* *the* *ground* with his hands in a cup., The *baby* is *sitting* *on* *the* *ground.*,"['little', 'baby']",['baby'],"['little', 'baby']",['baby'],"['baby', 'sitting', 'on', 'the', 'ground']","['baby', 'sitting', 'on', 'the', 'ground.']",classification,1
8360,8360,7558179624.jpg#3r1e,entailment,A child is reaching up to the counter using a step stool.,The child is using a step stool.,A child should definitely use a step stool to reach up to a counter because he is small., A *child* is *reaching* *up* to the *counter* *using* *a* *step* *stool.*, The *child* is using a step *stool.*,A child is using a step stool for reaching up the counter., A *child* is *reaching* *up* to *the* *counter* using a step stool., The child is *using* a *step* *stool.*,Child reaching up is a type of child., A *child* is *reaching* *up* to the counter using a step stool., The *child* is using a step stool.,"['child', 'reaching', 'up', 'counter', 'using', 'a', 'step', 'stool.']","['child', 'stool.']","['child', 'reaching', 'up', 'the', 'counter']","['using', 'step', 'stool.']","['child', 'reaching', 'up']",['child'],classification,3
8363,8363,3560513546.jpg#4r1e,entailment,A woman smiling while on a bicycle.,A woman is smiling.,"""Is smiling"" is the same as ""smiling.""", A woman *smiling* while on a bicycle., A woman *is* *smiling.*,A smiling women rides bicycle., A *woman* smiling while on a *bicycle.*, A *woman* is *smiling.*,Woman smiling while on a bicycle is a type of woman., A *woman* *smiling* *while* *on* *a* *bicycle.*, A *woman* is smiling.,['smiling'],"['is', 'smiling.']","['woman', 'bicycle.']","['woman', 'smiling.']","['woman', 'smiling', 'while', 'on', 'a', 'bicycle.']",['woman'],classification,3
8415,8415,4967627255.jpg#0r1e,entailment,A woman with a beautiful dress and matching umbrella is walking down the street carrying a purse on her arm.,The woman is walking down the street.,A woman walking with a purse down the street implies walking down the street., A woman with a beautiful dress and matching umbrella is *walking* *down* *the* *street* carrying a purse on her arm., The woman is *walking* *down* *the* *street.*,Woman with a beautiful dress is a type of woman., A *woman* *with* *a* *beautiful* *dress* and matching umbrella is walking down the street carrying a purse on her arm., The *woman* is walking down the street.,A woman with a beautiful dress and matching umbrella is the woman walking down the street carrying a purse on her arm, A *woman* with a *beautiful* *dress* and matching umbrella is walking down the street carrying a purse on her arm., *The* *woman* is *walking* down the street.,"['walking', 'down', 'the', 'street']","['walking', 'down', 'the', 'street.']","['woman', 'with', 'a', 'beautiful', 'dress']",['woman'],"['woman', 'beautiful', 'dress']","['The', 'woman', 'walking']",classification,2
8435,8435,2477900423.jpg#0r1e,entailment,"A girl wearing a teal shirt smiles while holding a piece of paper, with the other side held by someone standing off-camera.",A girl holds a piece of paper.,Smiles while holding a piece of paper is a form of holds a piece of paper.," A girl wearing a teal shirt *smiles* *while* *holding* *a* *piece* *of* *paper,* with the other side held by someone standing off-camera.", A girl *holds* *a* *piece* *of* *paper.*,The girl is holding a piece of paper so she holds a piece of paper.," A girl wearing a teal shirt smiles *while* *holding* *a* *piece* *of* *paper,* with the other side held by someone standing off-camera.", A girl *holds* *a* *piece* *of* *paper.*,A girl holds a piece of paper for a pose.," A *girl* wearing a teal shirt smiles while holding a *piece* *of* *paper,* with the other side held by someone standing off-camera.", A *girl* *holds* a *piece* *of* *paper.*,"['smiles', 'while', 'holding', 'a', 'piece', 'of', 'paper']","['holds', 'a', 'piece', 'of', 'paper.']","['while', 'holding', 'a', 'piece', 'of', 'paper']","['holds', 'a', 'piece', 'of', 'paper.']","['girl', 'piece', 'of', 'paper']","['girl', 'holds', 'piece', 'of', 'paper.']",classification,1
8480,8480,137231942.jpg#1r1e,entailment,A man with blond-hair and tattoos strolls behind bleachers on the cellphone.,A man talks on his cell phone.,Talking on a cellphone is a form of being on a cellphone., A man with blond-hair and tattoos strolls behind bleachers *on* *the* *cellphone.*, A man *talks* on his *cell* *phone.*,A man is strolling on his cellphone, A *man* with blond-hair and tattoos strolls behind bleachers on the *cellphone.*, A *man* talks on his cell *phone.*,Being on the cellphone means talking on it., A man with blond-hair and tattoos strolls behind bleachers *on* *the* *cellphone.*, A man *talks* *on* *his* *cell* *phone.*,"['on', 'the', 'cellphone.']","['talks', 'cell', 'phone.']","['man', 'cellphone.']","['man', 'phone.']","['on', 'the', 'cellphone.']","['talks', 'on', 'his', 'cell', 'phone.']",classification,1
8496,8496,4968586851.jpg#0r1e,entailment,Two blond girls and 2 brunettes walking down a really long hallway with intricate paintings on the walls.,Four people are in a hallway.,"Two blond girls and 2 brunettes are four people, and hallway with intricate paintings is a type of hallway.", *Two* *blond* *girls* *and* *2* *brunettes* walking down a really long *hallway* *with* *intricate* *paintings* on the walls., *Four* *people* are in a *hallway.*,"Two blond girls and 2 brunettes equals four people, and really long hallway is a paraphrase of hallway.", *Two* *blond* *girls* *and* *2* *brunettes* walking down a *really* *long* *hallway* with intricate paintings on the walls., *Four* *people* are in a *hallway.*,four girls two blonds and two brunettes are walking down a really long hallway with intricate paintings on the wall., Two blond girls and 2 brunettes *walking* *down* a really long hallway with intricate paintings on the walls., *Four* people are in a hallway.,"['Two', 'blond', 'girls', 'and', '2', 'brunettes', 'hallway', 'with', 'intricate', 'paintings']","['Four', 'people', 'hallway.']","['Two', 'blond', 'girls', 'and', '2', 'brunettes', 'really', 'long', 'hallway']","['Four', 'people', 'hallway.']","['walking', 'down']",['Four'],classification,1
8505,8505,4672131242.jpg#4r1e,entailment,A man in a black shirt is standing behind a blue SUV.,A person is next to a car,A man is a type of person. Standing behind can be considered standing next to. An SUV is a type of car., *A* *man* in a black shirt is *standing* *behind* a blue *SUV.*, A *person* is *next* to a *car*,"Man is a person, and blue SUV is a type of car.", A *man* in a black shirt is standing behind a *blue* *SUV.*, A *person* is next to a *car*,An SUV is a car., A man in a black shirt is standing behind a blue *SUV.*, A person is next to a *car*,"['A', 'man', 'standing', 'behind', 'SUV.']","['person', 'next', 'car']","['man', 'blue', 'SUV.']","['person', 'car']",['SUV.'],['car'],classification,"1,2"
8519,8519,3183195653.jpg#0r1e,entailment,The brightly dressed middle eastern women are conversing in the market.,The women are brightly dressed,Brightly dressed middle eastern women are a type of women., The *brightly* *dressed* *middle* *eastern* *women* are conversing in the market., The *women* are brightly dressed,Women are dressed and conversing in the market., The brightly dressed middle eastern women are *conversing* in the *market.*, The *women* *are* brightly *dressed*,"If the women are brightly dressed, they are brightly dressed women.", The *brightly* *dressed* middle eastern *women* are conversing in the market., The *women* are *brightly* *dressed*,"['brightly', 'dressed', 'middle', 'eastern', 'women']",['women'],"['conversing', 'market.']","['women', 'are', 'dressed']","['brightly', 'dressed', 'women']","['women', 'brightly', 'dressed']",classification,1
8539,8539,4923964340.jpg#3r1e,entailment,People riding an old looking trolley.,Trolley's are a means of transportation for people.,Riding an old looking trolley is a means of transportation., People *riding* *an* *old* *looking* *trolley.*, Trolley's are *a* *means* *of* *transportation* for people.,People are riding a trolley as a means for transportation., *People* *riding* an old looking *trolley.*, Trolley's are a *means* of *transportation* *for* people.,Riding a trolley is a form of transportation., People riding an old looking *trolley.*, Trolley's are a means of transportation for people.,"['riding', 'an', 'old', 'looking', 'trolley.']","['a', 'means', 'of', 'transportation']","['People', 'riding', 'trolley.']","['means', 'transportation', 'for']",['trolley.'],[],classification,3
8555,8555,5008951909.jpg#0r1e,entailment,A man waving at the camera holding a stick with a pile of wood.,The man waved at the camera.,"The man was waving at the camera. When he was finished, 'waving' became the past tense 'waved.'", A *man* *waving* at the *camera* holding a stick with a pile of wood., The *man* *waved* at the *camera.*,"If the man is waving at the camera, he has waved at it.", A *man* *waving* at the *camera* holding a stick with a pile of wood., The *man* *waved* at the *camera.*,waving at the camera is other form of waved at the camera., A man *waving* *at* *the* *camera* holding a stick with a pile of wood., The man *waved* *at* *the* *camera.*,"['man', 'waving', 'camera']","['man', 'waved', 'camera.']","['man', 'waving', 'camera']","['man', 'waved', 'camera.']","['waving', 'at', 'the', 'camera']","['waved', 'at', 'the', 'camera.']",classification,3
8563,8563,158827073.jpg#2r1e,entailment,Young girl playing with chocolate milk powder.,There is a girl playing with food,Chocolate milk powder is a type of food., Young girl playing with *chocolate* *milk* *powder.*, There is a girl playing with *food*,A girl is a girl and chocolate is a food., Young *girl* playing with *chocolate* milk powder., There is a *girl* playing with *food*,The girl is playing with food that is chocolate milk powder., Young *girl* *playing* with *chocolate* *milk* *powder.*, There is a girl *playing* with food,"['chocolate', 'milk', 'powder.']",['food'],"['girl', 'chocolate']","['girl', 'food']","['girl', 'playing', 'chocolate', 'milk', 'powder.']",['playing'],classification,1
8573,8573,2737097126.jpg#2r1e,entailment,People working together to plant flowers.,People are planting flowers.,To plant flowers is a rephrasing of planting flowers., People working together *to* *plant* *flowers.*, People are *planting* *flowers.*,"People working together are a type of people, and are planting flowers is a paraphrase of to plant flowers.", *People* *working* *together* *to* *plant* *flowers.*, *People* *are* *planting* *flowers.*,People are working to get flowers planted., *People* working together to *plant* *flowers.*, *People* are planting *flowers.*,"['to', 'plant', 'flowers.']","['planting', 'flowers.']","['People', 'working', 'together', 'to', 'plant', 'flowers.']","['People', 'are', 'planting', 'flowers.']","['People', 'plant', 'flowers.']","['People', 'flowers.']",classification,2
8588,8588,222141960.jpg#0r1e,entailment,A boy with a concerned look it holding up two newspapers featuring a headline about murder.,A boy is holding paper.,"Newspapers are made of paper, so by holding newspapers the boy must also be holding paper.", A *boy* with a concerned look it *holding* up two *newspapers* featuring a headline about murder., A *boy* is *holding* *paper.*,A boy holding paper does not necessarily mean he is holding newspapers. The specificity of the type of paper is not restated. This is not a clear implication., *A* *boy* with a concerned look it *holding* up two *newspapers* featuring a headline about murder., *A* *boy* *is* *holding* *paper.*,The boy holding  a newspapers in his hand., *A* *boy* with a concerned look it holding up two *newspapers* featuring a headline about murder., *A* *boy* is holding *paper.*,"['boy', 'holding', 'newspapers']","['boy', 'holding', 'paper.']","['A', 'boy', 'holding', 'newspapers']","['A', 'boy', 'is', 'holding', 'paper.']","['A', 'boy', 'newspapers']","['A', 'boy', 'paper.']",classification,2
8616,8616,5467111335.jpg#3r1e,entailment,Military woman using a microscope.,A woman using a microscope.,Both sentences describe a woman using a microscope., Military *woman* using a *microscope.*, A *woman* using a *microscope.*,Military woman is a type of woman., *Military* *woman* using a microscope., A *woman* using a microscope.,military woman can be inferred as woman., *Military* *woman* using a microscope., A *woman* using a microscope.,"['woman', 'microscope.']","['woman', 'microscope.']","['Military', 'woman']",['woman'],"['Military', 'woman']",['woman'],classification,2
8638,8638,4938457809.jpg#0r1e,entailment,Middle-aged man in jeans and dark blue t-shirt carrying a black item and walking across a lawn.,Man in dark clothing walks across a lawn.,Jeans and dark blue t-shirt is a form of dark clothing., Middle-aged man in *jeans* *and* *dark* *blue* *t-shirt* carrying a black item and walking across a lawn., Man in *dark* *clothing* walks across a lawn.,A man can be middle aged and walking across a lawn and can be wearing dark jeans and a blue t-shirt., *Middle-aged* *man* in *jeans* and dark *blue* *t-shirt* carrying a black item and *walking* *across* a *lawn.*, *Man* in *dark* *clothing* *walks* *across* a *lawn.*,"""Man in dark clothing walks across a lawn"" is a rephrasing of  ""Middle-aged man in jeans and dark blue t-shirt carrying a black item and walking across a lawn"".", Middle-aged man in jeans and dark blue t-shirt carrying a black item and *walking* *across* a *lawn.*, Man in dark clothing *walks* *across* a *lawn.*,"['jeans', 'and', 'dark', 'blue', 't-shirt']","['dark', 'clothing']","['Middle-aged', 'man', 'jeans', 'blue', 't-shirt', 'walking', 'across', 'lawn.']","['Man', 'dark', 'clothing', 'walks', 'across', 'lawn.']","['walking', 'across', 'lawn.']","['walks', 'across', 'lawn.']",classification,1
8644,8644,4812138503.jpg#1r1e,entailment,A man in a green and black coat is leaning on trashcan.,A man in a coat is leaning on a trashcan.,Green and black coat is a type of coat., A man in a *green* *and* *black* *coat* is leaning on trashcan., A man in a *coat* is leaning on a trashcan.,There is a man leaning on a trashcan., A man in a green and black coat is *leaning* on *trashcan.*, A man in a coat is *leaning* on a *trashcan.*,Green and black describes the coat that the man is wearing., A *man* in a *green* and *black* *coat* is leaning on trashcan., A *man* in a *coat* is leaning on a trashcan.,"['green', 'and', 'black', 'coat']",['coat'],"['leaning', 'trashcan.']","['leaning', 'trashcan.']","['man', 'green', 'black', 'coat']","['man', 'coat']",classification,1
8647,8647,4812138503.jpg#0r1e,entailment,A person with dark hair is standing on the sidewalk in front of an orange and white truck.,The man is standing on the sidewalk.,A person eating an orange while driving a white truck and collide a man standing on the sidewalk, A *person* with dark hair is standing on the sidewalk in front of an *orange* and *white* *truck.*, The man is *standing* on the *sidewalk.*,"Man is a person, and sidewalk in front of an orange and white truck is a type of sidewalk.", A *person* with dark hair is standing on the *sidewalk* *in* *front* *of* *an* *orange* *and* *white* *truck.*, The *man* is standing on the *sidewalk.*,The man is a person., A *person* with dark hair is standing on the sidewalk in front of an orange and white truck., The *man* is standing on the sidewalk.,"['person', 'orange', 'white', 'truck.']","['standing', 'sidewalk.']","['person', 'sidewalk', 'in', 'front', 'of', 'an', 'orange', 'and', 'white', 'truck.']","['man', 'sidewalk.']",['person'],['man'],classification,2
8666,8666,539751252.jpg#0r1e,entailment,A young boy wearing blue shorts is splashing is a blue kiddie pool.,The young boy is wet.,if someone is in a pool they are wet., A young boy wearing blue shorts is splashing is a blue kiddie *pool.*, The young boy is *wet.*,Splashing in a pool implies being wet., A young boy wearing blue shorts is *splashing* is a blue kiddie *pool.*, The young boy is *wet.*,"Young boy wearing blue shorts is a type of young boy, and splashing implies wet.", A *young* *boy* *wearing* *blue* *shorts* is *splashing* is a blue kiddie pool., The *young* *boy* is *wet.*,['pool.'],['wet.'],"['splashing', 'pool.']",['wet.'],"['young', 'boy', 'wearing', 'blue', 'shorts', 'splashing']","['young', 'boy', 'wet.']",classification,3
