,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type
9034,9034,319938879.jpg#0r1e,entailment,A person in a blue sweatshirt replaces letters in a theater marquee using a long pole.,A person is working.,Replacing letters keeps a person working., A person in a blue sweatshirt replaces *letters* in a theater marquee using a long pole., A person is *working.*,Replaces letters in a theater marquee is a type of working., A person in a blue sweatshirt *replaces* *letters* *in* *a* *theater* *marquee* using a long pole., A person is *working.*,This person is working outside wearing a blue sweatshirt., A *person* in a blue sweatshirt replaces letters in a theater marquee using a long pole., A *person* is *working.*,['letters'],['working'],['replaces letters in a theater marquee'],['working'],['person'],"['person', 'working']",classification
9046,9046,46601243.jpg#1r1e,entailment,"While drinking a coupe of Red Stripe beers, a man with a gray t-shirt speaks to another man wearing a blue button up shirt.",A man is drinking beers,The man talking to the other man is the same one that is drinking beers.," While *drinking* a coupe of Red Stripe *beers,* a man with a gray t-shirt speaks to another man wearing a blue button up shirt.", A *man* is *drinking* *beers*,Coupe of Red Stripe beers are a type of beers.," While drinking a *coupe* *of* *Red* *Stripe* *beers,* a man with a gray t-shirt speaks to another man wearing a blue button up shirt.", A man is drinking *beers*,while drinking a couple of Red Stripe beers is a rephrasing of a man is drinking beers," *While* *drinking* a coupe of Red Stripe *beers,* a man with a gray t-shirt speaks to another man wearing a blue button up shirt.", A *man* *is* *drinking* *beers*,"['drinking', 'beers']","['man', 'drinking beers']",['coupe of Red Stripe beers'],['beers'],"['While drinking', 'beers']",['man is drinking beers'],classification
9083,9083,428980399.jpg#4r1e,entailment,A man in a green shirt playing drums.,The man plays a percussive instrument.,The drums are a percussive instrument., A man in a green shirt playing *drums.*, *The* man plays a *percussive* *instrument.*,Drums are a type of percussive instrument., A man in a green shirt playing *drums.*, The man plays a *percussive* *instrument.*,"Common subject (man), common verb (playing, plays), and similar direct objects (drums, percussive instrument).", A *man* in a green shirt *playing* *drums.*, The *man* *plays* a *percussive* *instrument.*,['drums'],"['The', 'percussive instrument']",['drums'],['percussive instrument'],"['man', 'playing drums']","['man plays', 'percussive instrument']",classification
9093,9093,212556127.jpg#0r1e,entailment,A smiling young man is standing indoors with his left foot on a blue-wheeled child's scooter and his right foot on a yellow-wheeled child's scooter.,A young man is standing on two scooters.,Blue-wheeled child's scooter and yellow-wheeled child's scooter are two scooters., A smiling young man is standing indoors with his left foot on a *blue-wheeled* *child's* *scooter* *and* his right foot on a *yellow-wheeled* *child's* *scooter.*, A young man is standing on *two* *scooters.*,"Smiling young man is a type of young man, and standing indoors is a type of standing.", A *smiling* *young* *man* is *standing* *indoors* with his left foot on a blue-wheeled child's scooter and his right foot on a yellow-wheeled child's scooter., A *young* *man* is *standing* on two scooters.,A smiling young man is a young man standing on two scooters (blue-wheeled child's scooter and his right foot on a yellow-wheeled child's scooter)., A *smiling* *young* *man* is standing indoors with his left foot on a blue-wheeled child's scooter and his right foot on a yellow-wheeled child's scooter., A *young* *man* is standing on two scooters.,"['bluewheeled childs scooter and', 'yellowwheeled childs scooter']",['two scooters'],"['smiling young man', 'standing indoors']","['young man', 'standing']",['smiling young man'],['young man'],classification
9121,9121,300594071.jpg#0r1e,entailment,A person is sitting in front of three blue and white port-o-potties with a mop propped against them.,A person is sitting near portable toilets.,"Port-o-potties is a type of portable toilet, and the person is in front of the toilets so they are near the toilets.", A person is *sitting* *in* *front* *of* three blue and white *port-o-potties* with a mop propped against them., A person is *sitting* *near* *portable* *toilets.*,Near portable toilets is a rephrasing of in front of three blue and white port-o-potties., A person is sitting *in* *front* *of* *three* *blue* *and* *white* *port-o-potties* with a mop propped against them., A person is sitting *near* *portable* *toilets.*,A person is sitting near three portable toilets., A person is sitting in front of *three* blue and white port-o-potties with a mop propped against them., A *person* is *sitting* near *portable* *toilets.*,"['sitting in front of', 'portopotties']",['sitting near portable toilets'],['in front of three blue and white portopotties'],['near portable toilets'],['three'],"['person', 'sitting', 'portable toilets']",classification
9123,9123,82414149.jpg#0r1e,entailment,A woman is cutting something with scissors.,A woman uses a tool.,The scissors that the woman is using to cut something is the woman's tool., A woman is *cutting* *something* *with* scissors., A woman uses *a* *tool.*,"Scissors are a kind of tool. So if a woman is cutting with scissors, she uses a tool.", A woman is *cutting* something *with* *scissors.*, A woman *uses* *a* *tool.*,If a woman is cutting with scissors then she uses a tool., A woman is *cutting* something with *scissors.*, A woman *uses* a *tool.*,['cutting something with'],['a tool'],"['cutting', 'with scissors']",['uses a tool'],"['cutting', 'scissors']","['uses', 'tool']",classification
9146,9146,540873795.jpg#0r1e,entailment,an middle eastern man in a white robe is sitting on a wooden bench with his shoes off.,a guy relaxing outdoors,Sitting on a wooden bench with shoes off implies relaxing., an middle eastern man in a white robe is *sitting* on a wooden bench with his *shoes* *off.*, a guy *relaxing* outdoors,"A Middle-Eastern man is a guy. He is relaxing is his shoes are off in a wooden bench, which is outdoors.", an *middle* *eastern* *man* in a white robe is sitting on a *wooden* *bench* with his *shoes* *off.*, a *guy* *relaxing* *outdoors*,"Middle eastern man is a type of guy, and sitting on a wooden bench implies relaxing outdoors.", an *middle* *eastern* *man* in a white robe is *sitting* *on* *a* *wooden* *bench* with his shoes off., a *guy* *relaxing* *outdoors*,"['sitting', 'shoes off']",['relaxing'],"['middle eastern man', 'wooden bench', 'shoes off']",['guy relaxing outdoors'],"['middle eastern man', 'sitting on a wooden bench']",['guy relaxing outdoors'],classification
9150,9150,84291062.jpg#3r1e,entailment,"A man in a black shirt is working out in a gym, while a woman behind him is on a treadmill.",Two people exercise indoors.,"The man and the woman behind him, constitute two people."," A *man* in a black shirt is working out in a gym, while a *woman* *behind* *him* is on a treadmill.", *Two* *people* exercise indoors.,"Man and woman are two people, and working out is a form of exercise."," A *man* in a black shirt is *working* *out* in a gym, while a *woman* behind him is on a treadmill.", *Two* *people* *exercise* indoors.,there is a men and women so there should be two people. working out in a gym is inferred as exercise indoors.," A *man* in a black shirt is *working* *out* *in* *a* *gym,* while a *woman* behind him is on a treadmill.", *Two* *people* *exercise* *indoors.*,"['man', 'woman behind him']",['Two people'],"['man', 'working out', 'woman']",['Two people exercise'],"['man', 'working out in a gym', 'woman']",['Two people exercise indoors'],classification
9173,9173,360723732.jpg#1r1e,entailment,A dog with a red object in its mouth is hurrying down a smooth path near grass and another dog.,A dog with a red object in its mouth is hurrying down a path near another dog.,"Sentence 2 is a subset of sentence 1. All the information(dog, object and object color, mouth, path and the other dog) in sentence 2 is present exactly in the same manner in sentence 1.(Additional information is present about the path being smooth as well as it being near grass in sentence 1).", A dog with a red object in its mouth is hurrying down a smooth *path* *near* grass and *another* *dog.*, A dog with a red object in its mouth is hurrying down a *path* *near* *another* *dog.*,Smooth path near grass is a type of path., A dog with a red object in its mouth is hurrying down a *smooth* *path* *near* *grass* and another dog., A dog with a red object in its mouth is hurrying down a *path* near another dog.,A smooth path is a type of path., A dog with a red object in its mouth is hurrying down a *smooth* *path* near grass and another dog., A dog with a red object in its mouth is hurrying down a path near another dog.,"['path near', 'another dog']",['path near another dog'],['smooth path near grass'],['path'],['smooth path'],[],classification
9183,9183,2326669450.jpg#2r1e,entailment,Seven children all jump as the photo is taken.,Children are getting their picture taken.,The word photo is being rephrased as picture., Seven *children* all jump as the *photo* is taken., *Children* are getting their *picture* taken.,"Seven children are children, and photo is a type of picture.", *Seven* *children* all jump as the *photo* is taken., *Children* are getting their *picture* taken.,The children jump while a picture is taken., Seven *children* all *jump* as the *photo* is *taken.*, *Children* are getting their picture *taken.*,"['children', 'photo']","['Children', 'picture']","['Seven children', 'photo']","['Children', 'picture']","['children', 'jump', 'photo', 'taken']","['Children', 'taken']",classification
9198,9198,5244225882.jpg#4r1e,entailment,Young man engraves Arabic writing into a stone.,Young man is engraving into a stone.,A young man that engraves Arabic writing into a stone is definitely engraving into a stone., Young man *engraves* *Arabic* *writing* *into* *a* *stone.*, Young man is *engraving* *into* *a* *stone.*,Engraves Arabic writing is a form of engraving., Young man *engraves* *Arabic* *writing* into a stone., Young man is *engraving* into a stone.,Engraves Arabic writing is a more specific type of engraving. The rest of the sentences are identical., Young man *engraves* *Arabic* *writing* into a stone., Young man is *engraving* into a stone.,['engraves Arabic writing into a stone'],['engraving into a stone'],['engraves Arabic writing'],['engraving'],['engraves Arabic writing'],['engraving'],classification
9219,9219,8849890.jpg#1r1e,entailment,Two young men play trumpet in traditional mariachi dress.,Two humans are playing instruments.,"Young men are humans, a trumpet is an instrument.", Two *young* *men* play *trumpet* in traditional mariachi dress., Two *humans* are playing *instruments.*,"Two young men are two humans, and play trumpet is a form of playing instruments.", *Two* *young* *men* *play* *trumpet* in traditional mariachi dress., *Two* *humans* are *playing* *instruments.*,"Two men, who are humans, are playing trumpets, which are instruments.", Two young *men* *play* *trumpet* in traditional mariachi dress., Two *humans* are *playing* *instruments.*,"['young men', 'trumpet']","['humans', 'instruments']",['Two young men play trumpet'],"['Two humans', 'playing instruments']",['men play trumpet'],"['humans', 'playing instruments']",classification
9221,9221,2724379828.jpg#1r1e,entailment,A man providing entertainment on the sidewalk by playing the violin.,A man playing the violin entertains on the sidewalk.,"Sentences are simply rearranged, both say a man on the sidewalk is playing the violin", A *man* providing entertainment on the *sidewalk* by *playing* the *violin.*, A *man* *playing* the *violin* entertains on the *sidewalk.*,"Playing the violin is a form of entertainment, and playing the violin implies entertains.", A man providing *entertainment* on the sidewalk by *playing* *the* *violin.*, A man *playing* *the* *violin* *entertains* on the sidewalk.,"If the man is providing entertainment, then he entertains.", A man *providing* *entertainment* on the sidewalk by playing the violin., A man playing the violin *entertains* on the sidewalk.,"['man', 'sidewalk', 'playing', 'violin']","['man playing', 'violin', 'sidewalk']","['entertainment', 'playing the violin']",['playing the violin entertains'],['providing entertainment'],['entertains'],classification
9233,9233,1655781989.jpg#1r1e,entailment,A group of people walking in a line through the snow toward a mountain.,group of people walking  the snow toward a mountain,The group of people in a line are walking to the mountain in the snow., A *group* of *people* walking in a *line* through the *snow* toward a *mountain.*, *group* of *people* *walking*  the *snow* *toward* a *mountain*,A group of people walking implies they are in some form of line, A group of people *walking* *in* *a* *line* through the snow toward a mountain., group of people *walking*  the snow toward a mountain,"""group of people walking the snow toward a mountain"" rephrases ""A group of people walking in a line through the snow toward a mountain.""", A *group* *of* *people* *walking* in a line through the *snow* toward a mountain., *group* *of* *people* *walking*  the *snow* toward a mountain,"['group', 'people', 'line', 'snow', 'mountain']","['group', 'people walking', 'snow toward', 'mountain']",['walking in a line'],['walking'],"['group of people walking', 'snow']","['group of people walking', 'snow']",classification
9246,9246,3842225496.jpg#1r1n,entailment,A man wearing black clothing is standing at an empty table that has water glasses and papers strewn about.,A man is standing around.,"Man wearing black clothing is a type of man, and is standing is a paraphrase of is standing around.", A *man* *wearing* *black* *clothing* *is* *standing* at an empty table that has water glasses and papers strewn about., A *man* *is* *standing* *around.*,If the man is simply standing at an empty table and doesn't appear to be doing anything then he call also be described using the phrase 'standing around'., *A* *man* wearing black clothing is *standing* *at* *an* *empty* *table* that has water glasses and papers strewn about., A *man* is *standing* *around.*,Standing at an empty table implies standing around., A man wearing black clothing is *standing* *at* *an* *empty* *table* that has water glasses and papers strewn about., A man is *standing* *around.*,['man wearing black clothing is standing'],['man is standing around'],"['A man', 'standing at an empty table']","['man', 'standing around']",['standing at an empty table'],['standing around'],classification
9251,9251,434094589.jpg#3r1e,entailment,Three men handling a net on the seashore.,Group of men casting a net.,"A group is normally three or more people. ""Handling a net"" is a rephrasing of ""casting a net"".", *Three* *men* *handling* *a* *net* on the seashore., *Group* of men *casting* *a* *net.*,"Group of men means more than one man, here the group is of three men, handling a net implies casting a net.", *Three* *men* *handling* *a* *net* on the seashore., *Group* *of* *men* *casting* *a* *net.*,Three men can be called a group and casting is type of handling., *Three* *men* *handling* a net on the seashore., *Group* of men *casting* a net.,['Three men handling a net'],"['Group', 'casting a net']",['Three men handling a net'],['Group of men casting a net'],['Three men handling'],"['Group', 'casting']",classification
9253,9253,205635075.jpg#1r1e,entailment,"A girl in black is sitting on the ledge of a balcony, and she is speaking with a group of chefs.",A group of professionals are speaking with a girl on a balcony.,"Chefs are highly skilled, and can be considered as professionals."," A girl in black is sitting on the ledge of a balcony, and she is speaking with a group of *chefs.*", A group of *professionals* are speaking with a girl on a balcony.,Chefs are one type of professionals.," A girl in black is sitting on the ledge of a balcony, and she is speaking with a group of *chefs.*", A group of *professionals* are speaking with a girl on a balcony.,"Chefs are professionals, and ledge of a balcony is part of a balcony."," A girl in black is sitting on the *ledge* *of* *a* *balcony,* and she is speaking with a group of *chefs.*", A group of *professionals* are speaking with a girl on a *balcony.*,['chefs'],['professionals'],['chefs'],['professionals'],"['ledge of a balcony', 'chefs']","['professionals', 'balcony']",classification
9287,9287,7680969218.jpg#4r1e,entailment,A couple of peace corp workers are helping a black kid dig.,There are people helping a child.,People include peace corp workers., A couple of *peace* *corp* *workers* are helping a black kid dig., There are *people* helping a child.,A couple of peace corp workers describes the kind of people helping the child., *A* *couple* *of* *peace* *corp* *workers* are helping a black kid dig., There are *people* helping a child.,"Couple of peace corp workers are people, and black kid is a child.", A *couple* *of* *peace* *corp* *workers* are helping a *black* *kid* dig., There are *people* helping a *child.*,['peace corp workers'],['people'],['A couple of peace corp workers'],['people'],"['couple of peace corp workers', 'black kid']","['people', 'child']",classification
9289,9289,3664928753.jpg#4r1e,entailment,Javelin competition,There is a competition.,Javelin is a specific type of competition., *Javelin* competition, There is a *competition.*,A javelin competition is one kind of competition., *Javelin* *competition*, There is a *competition.*,There must be a competition for a Javelin competition to take place., *Javelin* *competition*, There is a *competition.*,['Javelin'],['competition'],['Javelin competition'],['competition'],['Javelin competition'],['competition'],classification
9327,9327,1313869424.jpg#1r1e,entailment,A shirtless man in shorts is fishing while standing on some rocks.,A man is fishing.,"A shirtless man in shorts is a man, and fishing while standing on some rocks is a method of fishing.", A *shirtless* *man* *in* *shorts* is *fishing* *while* *standing* *on* *some* *rocks.*, A *man* is *fishing.*,A man denotes any person who is wearing a shirt or not, A *shirtless* *man* in shorts is fishing while standing on some rocks., A *man* is fishing.,A shirtless man is a type of man., *A* *shirtless* *man* in shorts is fishing while standing on some rocks., A *man* is fishing.,"['shirtless man in shorts', 'fishing while standing on some rocks']","['man', 'fishing']",['shirtless man'],['man'],['A shirtless man'],['man'],classification
9332,9332,3160531982.jpg#0r1e,entailment,"With the sun rising, a person is gliding with a huge parachute attached to them.",The person is falling to saftey with the parachute,A person  gliding with a huge parachute attached to them is definitely falling to saftey with the parachute.," With the sun rising, a person is *gliding* *with* *a* *huge* *parachute* *attached* *to* *them.*", The person is *falling* *to* *saftey* *with* *the* *parachute*,"Gliding is a form of falling to safety, and parachute implies attached."," With the sun rising, a person is *gliding* with a huge parachute *attached* to them.", The person is *falling* *to* *saftey* with the *parachute*,A person gliding with a huge parachute attached to them means the person is falling to safety with the parachute.," With the *sun* *rising,* a person is *gliding* with a huge parachute attached to them.", The person is *falling* to *saftey* with the *parachute*,['gliding with a huge parachute attached to them'],['falling to saftey with the parachute'],"['gliding', 'attached']","['falling to saftey', 'parachute']","['sun rising', 'gliding']","['falling', 'saftey', 'parachute']",classification
9359,9359,699448056.jpg#0r1e,entailment,"A man in a blue plaid shirt and blue jeans, wearing a black helmet, pauses to drink water next to a large blue steel corrugated tube.",A casually dressed man is drinking water.,Blue plaid shirt and blue jeans is casually dressed.," A man in a *blue* *plaid* *shirt* *and* *blue* *jeans,* wearing a black helmet, pauses to drink water next to a large blue steel corrugated tube.", A *casually* *dressed* man is drinking water.,A man in a blue plaid shirt and jeans is casually dressed," A *man* *in* a *blue* *plaid* *shirt* and *blue* *jeans,* wearing a black helmet, pauses to drink water next to a large blue steel corrugated tube.", A *casually* *dressed* *man* is drinking water.,Blue plaid shirt and blue jeans is a form of being casually dressed.," A man in a *blue* *plaid* *shirt* and *blue* *jeans,* wearing a black helmet, pauses to drink water next to a large blue steel corrugated tube.", A *casually* *dressed* man is drinking water.,['blue plaid shirt and blue jeans'],['casually dressed'],"['man in', 'blue plaid shirt', 'blue jeans']",['casually dressed man'],"['blue plaid shirt', 'blue jeans']",['casually dressed'],classification
9362,9362,2042114239.jpg#4r1e,entailment,Two boys laying tile in a bathroom.,Some boys repair a bathroom.,Laying tile is a form of repair., Two boys *laying* *tile* in a bathroom., Some boys *repair* a bathroom.,Laying tile is a form of repair., Two boys *laying* *tile* in a bathroom., Some boys *repair* a bathroom.,Laying tile is also a form of work or a repair., Two boys *laying* *tile* in a bathroom., Some boys repair a bathroom.,['laying tile'],['repair'],['laying tile'],['repair'],['laying tile'],[],classification
9365,9365,4633900611.jpg#1r1e,entailment,"Bald man in white and black shorts, punching man with black hair, and red, orange and blue shorts.",A man punches another man.,Punches is a form of punching.," Bald man in white and black shorts, *punching* man with black hair, and red, orange and blue shorts.", A man *punches* another man.,One man is bald and one has black hair.," *Bald* man in white and black shorts, punching man with *black* *hair,* and red, orange and blue shorts.", A *man* punches *another* man.,The man is bald.," *Bald* man in white and black shorts, punching man with black hair, and red, orange and blue shorts.", A *man* punches another man.,['punching'],['punches'],"['Bald', 'black hair']","['man', 'another']",['Bald'],['man'],classification
9387,9387,1443807993.jpg#0r1e,entailment,A child slides down a colorful slide while another child watches,A child goes down a slide.,"""Goes down a slide"" is a rephrasing of ""slides down.""", A child *slides* *down* a colorful slide while another child watches, A child *goes* *down* *a* *slide.*,"Slides down is a paraphrase of goes down, and colorful slide is a type of slide.", A child *slides* *down* a *colorful* *slide* while another child watches, A child *goes* *down* a *slide.*,A child is taking a colorful slide, A child slides down a *colorful* *slide* while another child watches, A *child* goes down a slide.,['slides down'],['goes down a slide'],"['slides down', 'colorful slide']","['goes down', 'slide']",['colorful slide'],['child'],classification
9390,9390,3671612380.jpg#4r1e,entailment,little boy running in the street.,There is a street with a boy running,the boy running in the street running race, little boy *running* in the street., There is a street with a boy *running*,Answer; Running  is the same as street with a boy running., little boy *running* *in* *the* *street.*, There is a *street* *with* *a* *boy* running,"Little boy is a boy, and running in the street is a type of running.", *little* *boy* *running* *in* *the* *street.*, There is a street with a *boy* *running*,['running'],['running'],['running in the street'],['street with a boy'],['little boy running in the street'],['boy running'],classification
9403,9403,2299859649.jpg#2r1e,entailment,A young boy wearing a red coat eats a chocolate bar.,The boy is wearing clothing and eating.,The boy is wearing a coat while eating a chocolate bar., A young boy wearing a red *coat* eats a *chocolate* bar., The boy is *wearing* clothing and *eating.*,"A red coat is a type of clothing, and to ""eats a chocolate bar"" one must be eating it.", A young boy wearing a *red* *coat* *eats* *a* *chocolate* *bar.*, The boy is wearing *clothing* and *eating.*,The young boy is wearing a coat and eating chocolate., A young *boy* wearing a *red* *coat* eats a *chocolate* *bar.*, The *boy* is wearing *clothing* and *eating.*,"['coat', 'chocolate']","['wearing', 'eating']",['red coat eats a chocolate bar'],"['clothing', 'eating']","['boy', 'red coat', 'chocolate bar']","['boy', 'clothing', 'eating']",classification
9411,9411,5420765124.jpg#1r1e,entailment,A bundled up Asian girl wearing a Camelbak and walking shoes walking her dog in a snowy forest.,A girl is walking outdoors.,Bundled up a girl is walking her dog in a snowy forest., A *bundled* *up* Asian girl wearing a Camelbak and walking shoes walking *her* *dog* in a *snowy* *forest.*, *A* *girl* is *walking* outdoors.,"Bundled up Asian girl is a type of girl, and forest implies outdoors.", A *bundled* *up* *Asian* *girl* wearing a Camelbak and walking shoes walking her dog in a snowy *forest.*, A *girl* is walking *outdoors.*,The girl is Asian. The snowy forest is outdoors., A bundled up *Asian* girl wearing a Camelbak and walking shoes walking her dog in a *snowy* *forest.*, A *girl* is walking *outdoors.*,"['bundled up', 'her dog', 'snowy forest']","['A girl', 'walking']","['bundled up Asian girl', 'forest']","['girl', 'outdoors']","['Asian', 'snowy forest']","['girl', 'outdoors']",classification
9441,9441,4739645879.jpg#1r1e,entailment,A blond woman in a white cutoff shirt and jeans is walking.,A blond woman walks in light clothing.,"White is a light color, and a shirt and jeans are a type of clothing", A blond woman in a *white* cutoff *shirt* *and* *jeans* is walking., A blond woman walks in *light* *clothing.*,White is a light color clothing, A *blond* *woman* in a *white* cutoff shirt and jeans is walking., A *blond* *woman* walks in *light* *clothing.*,A white cutoff and jeans can be considered light clothing., A blond woman in a *white* *cutoff* *shirt* *and* *jeans* is walking., A blond woman walks in *light* *clothing.*,"['white', 'shirt and jeans']",['light clothing'],"['blond woman', 'white']","['blond woman', 'light clothing']",['white cutoff shirt and jeans'],['light clothing'],classification
9466,9466,3914456610.jpg#0r1e,entailment,"A young boy, wearing a helmet, in shorts and a t-shirt and a pair of binoculars around his neck is playing outside.",A boy is outside.,Both boy are outside.," A young *boy,* wearing a helmet, in shorts and a t-shirt and a pair of binoculars around his neck is playing *outside.*", A *boy* is *outside.*,The boy is playing outside so the second sentence is true.," A young *boy,* wearing a helmet, in shorts and a t-shirt and a pair of binoculars around his neck is playing *outside.*", A boy is outside.,"A young boy playing outside is a form of, ""A boy is outside."""," A *young* *boy,* wearing a helmet, in shorts and a t-shirt and a pair of binoculars around his neck is *playing* *outside.*", A *boy* *is* *outside.*,"['boy', 'outside']","['boy', 'outside']","['boy', 'outside']",[],"['young boy', 'playing outside']",['boy is outside'],classification
9493,9493,8034142456.jpg#4r1e,entailment,Golfer celebrates after a shot he has made.,An athlete has just made a shot with his golf club.,A golfer is the same as an athlete., *Golfer* celebrates after a shot he has made., An *athlete* has just made a shot with his golf club.,A golfer is a kind of athlete., *Golfer* celebrates after a shot he has made., An *athlete* has just made a shot with his golf club.,A golfer is a type of athlete., *Golfer* celebrates after a shot he has made., An *athlete* has just made a shot with his golf club.,['Golfer'],['athlete'],['Golfer'],['athlete'],['Golfer'],['athlete'],classification
9549,9549,3439982121.jpg#4r1e,entailment,A woman huge a fluffy white dog.,The dog is embraced by the woman,A woman hugging a white dog is the same as dog embraced by the woman., A *woman* huge a *fluffy* *white* *dog.*, The *dog* is *embraced* by the *woman*,"Fluffy white dog is a type of dog, and huge means embraced.", A woman *huge* a *fluffy* *white* *dog.*, The *dog* is *embraced* by the woman,A hug is a form of being embraced., A woman *huge* a fluffy white dog., The dog is *embraced* by the woman,"['woman', 'fluffy white dog']","['dog', 'embraced', 'woman']","['huge', 'fluffy white dog']","['dog', 'embraced']",['huge'],['embraced'],classification
9554,9554,5669382831.jpg#3r1e,entailment,A female figure skater in costume is executing a routine.,A skater is on the ice.,Skater executing a routine implies on the ice., A female figure *skater* in costume is *executing* *a* *routine.*, A skater is *on* *the* *ice.*,"Female figure skater is a type of skater, and routine implies on the ice.", A *female* *figure* *skater* in costume is executing a *routine.*, A *skater* is *on* *the* *ice.*,female figure skater is inferred as skater and as she is executing a routine so she is on ice., A *female* *figure* *skater* in costume is *executing* *a* *routine.*, A *skater* is *on* *the* *ice.*,"['skater', 'executing a routine']",['on the ice'],"['female figure skater', 'routine']","['skater', 'on the ice']","['female figure skater', 'executing a routine']","['skater', 'on the ice']",classification
9556,9556,275162158.jpg#3r1e,entailment,An Asian woman mixing cucumbers.,A woman is cooking.,Mixing cucumbers is a form of cooking., An Asian woman *mixing* *cucumbers.*, A woman is *cooking.*,A woman mixing cucumbers implies that she is cooking., An *Asian* *woman* *mixing* *cucumbers.*, A *woman* is *cooking.*,The woman who is Asian is mixing cucumbers., *An* Asian *woman* *mixing* *cucumbers.*, A woman is cooking.,['mixing cucumbers'],['cooking'],['Asian woman mixing cucumbers'],"['woman', 'cooking']","['An', 'woman mixing cucumbers']",[],classification
9576,9576,5852667073.jpg#2r1e,entailment,A man speaking to a woman with a stroller in a room with several dinners.,a man speaks to a woman,Speaks is the present participle form of speaking., A man *speaking* to a woman with a stroller in a room with several dinners., a man *speaks* to a woman,A man speaking to a woman is the same as a man speaks to a woman., A *man* *speaking* to a *woman* with a stroller in a room with several dinners., a *man* *speaks* to a *woman*,"If the man is speaking, he speaks.", A man *speaking* to a woman with a stroller in a room with several dinners., a man *speaks* to a woman,['speaking'],['speaks'],"['man speaking', 'woman']","['man speaks', 'woman']",['speaking'],['speaks'],classification
9635,9635,684255145.jpg#4r1e,entailment,A child does a handstand in a pool.,A child is playing in a pool.,By doing a handstand also shows that the child is playing., A child does a *handstand* in a pool., A child is *playing* in a pool.,Doing a handstand in the pool implies you are playing in a pool., A child does a *handstand* in a *pool.*, A child is *playing* in a *pool.*,Handstand in a pool is a form of playing., A child does a *handstand* in a *pool.*, A child is *playing* in a pool.,['handstand'],['playing'],"['handstand', 'pool']","['playing', 'pool']","['handstand', 'pool']",['playing'],classification
9646,9646,2896464687.jpg#2r1e,entailment,Female sitting in a chair in front of a hazy field.,A woman is sitting.,A female is a woman., *Female* sitting in a chair in front of a hazy field., A *woman* is sitting.,"Female is woman, and sitting in a chair is a type of sitting.", *Female* *sitting* *in* *a* *chair* in front of a hazy field., A *woman* is *sitting.*,While the chair is located in front of a hazy field there is a woman sitting in it., *Female* *sitting* in a *chair* in front of a hazy field., A *woman* is *sitting.*,['Female'],['woman'],['Female sitting in a chair'],"['woman', 'sitting']","['Female sitting', 'chair']","['woman', 'sitting']",classification
9659,9659,3714870764.jpg#3r1e,entailment,a young girl in red lifting a girl in blue to the top of a wall and lighting.,The girl is lifting the other girl.,"'The girl is lifting the other girl' is a less detailed rephrasing of 'girl in red lifting a girl in blue', the colour of their outfits has been omitted.", a young *girl* *in* *red* *lifting* *a* *girl* *in* *blue* to the top of a wall and lighting., The *girl* *is* *lifting* *the* *other* *girl.*,"Young girl in red is a type of girl, and girl in blue is a type of other girl.", a *young* *girl* *in* *red* lifting a *girl* *in* *blue* to the top of a wall and lighting., The *girl* is lifting the *other* *girl.*,a young girl in red lifting a girl in blue is inferred as  a young girl in red lifting a girl in blue., a *young* *girl* *in* *red* *lifting* *a* *girl* *in* *blue* to the top of a wall and lighting., *The* *girl* *is* *lifting* *the* *other* *girl.*,['girl in red lifting a girl in blue'],['girl is lifting the other girl'],"['young girl in red', 'girl in blue']","['girl', 'other girl']",['young girl in red lifting a girl in blue'],['The girl is lifting the other girl'],classification
9677,9677,3323498985.jpg#1r1e,entailment,A man in swimming trunks plays in the ocean's waves.,A man is outdoors.,A man swimming in the ocean's waves would be swimming outdoors., A *man* in *swimming* trunks plays in the *ocean's* waves., A *man* is *outdoors.*,"Ocean's waves implies outdoors, and man in swimming trunks is a type of man.", A *man* *in* *swimming* *trunks* plays in the *ocean's* *waves.*, A *man* is *outdoors.*,Playing in the ocean's waves is being outdoors as the ocean is outdoors., A man in swimming trunks plays in the *ocean's* waves., A man is outdoors.,"['man', 'swimming', 'oceans']","['man', 'outdoors']","['man in swimming trunks', 'oceans waves']","['man', 'outdoors']",['oceans'],[],classification
